scene,budget,dataset,n,r2,rho
Barn,10,tt,1540,0.34515383997841154,0.6607905722718642
Barn,15,tt,540,0.5155619689842681,0.7983589335583
Barn,20,tt,520,0.4628514191768853,0.7244649375251218
Barn,25,tt,500,0.28609799707231454,0.5973279246704177
Church,10,tt,4290,0.48651293701897336,0.886536591299865
Church,15,tt,1540,0.9321442600344371,0.962491259917161
Church,20,tt,1520,0.9578158106908857,0.9669214726725168
Church,25,tt,1500,0.9525801623373614,0.9515996493599955
Family,10,tt,2090,0.7817479402234772,0.8781180266183234
Family,15,tt,740,0.8148919618787486,0.8943895333057933
Family,20,tt,720,0.7987671070504507,0.8877110619953245
Family,25,tt,700,0.6930963186188865,0.8574365903819887
Francis,10,tt,1540,0.6687264813906321,0.8268754770623726
Francis,15,tt,540,0.7146104803185718,0.8638338415084365
Francis,20,tt,520,0.6202697844555956,0.8514543828587667
Francis,25,tt,500,0.4784529610773246,0.7150127663716791
Horse,10,tt,1210,0.7237743028842378,0.8635051835594826
Horse,15,tt,420,0.755092146442456,0.8076988472518362
Horse,20,tt,400,0.712633236160387,0.8055584748460914
Horse,25,tt,380,0.5336671580342507,0.742038320509601
Ignatius,10,tt,1320,0.1209548564896199,0.546798447513303
Ignatius,15,tt,420,0.26408589314064657,0.5225932430690742
Ignatius,20,tt,400,0.46100356931515796,0.7114240109980701
Ignatius,25,tt,380,0.4982679418938133,0.7612777449496467
Museum,10,tt,990,0.42026859691691476,0.7023183583655441
Museum,15,tt,340,0.40345919087874393,0.740634875516194
Museum,20,tt,320,0.2433753116331947,0.6957170655445482
Museum,25,tt,300,0.3993693324811698,0.6296780582163953
flower,10,llff,264,0.4536329903983771,0.7244128228818029
flower,15,llff,76,0.6989080376551667,0.8809842788790159
flower,20,llff,56,0.5634704765349852,0.8182641536422605
flower,25,llff,36,0.73819187834934,0.8592020592020593
fortress,10,llff,352,0.3599928568606472,0.6493629039995042
fortress,15,llff,108,0.46344565350743805,0.8095973020092029
fortress,20,llff,88,0.5749032218048491,0.7999894332711072
fortress,25,llff,68,0.5222078636581934,0.8000916135435354
horns,10,llff,572,0.037749573761766464,0.37017808118549206
horns,15,llff,188,-0.17075603506799752,0.2513496539459094
horns,20,llff,168,-0.8097802193800636,0.6037220361773048
horns,25,llff,148,-0.17304058297783098,0.3925700181750633
leaves,10,llff,176,0.17121310313873106,0.4913101779105707
leaves,15,llff,44,-0.38731800521272186,0.5548664472163435
leaves,20,llff,24,-2.1416698533954053,0.2926723269882859
orchids,10,llff,165,0.13574259013545276,0.44859046638069605
orchids,15,llff,40,0.2206341241595552,0.7175758720779348
orchids,20,llff,20,0.06590167967669736,0.7022556390977444
room,10,llff,341,0.3611731947156719,0.5291939321426867
room,15,llff,104,0.4473669770425557,0.6749724607205827
room,20,llff,84,-0.030779335737819435,0.5754205498734755
room,25,llff,64,0.2730025978037268,0.5989445611783061
trex,10,llff,495,0.16440112412878405,0.48643586154708
trex,15,llff,160,0.3119355124500647,0.578085081448494
trex,20,llff,140,0.05505945301841253,0.520128577988673
trex,25,llff,120,-0.01061401009965679,0.3167146158523544
