scene,dataset,n,fvs_baseline,fvs_plucker,fvs_angular,fvs_euclidean,alexnet_entropy,alexnet_dist,dinov2_dist,clip_dist
Ballroom,tt,3100,-0.7155781058849964,-0.6928637914083354,-0.6257563200279644,-0.7155781058849964,-0.25841116621211385,-0.5829123847221711,-0.6174181161397778,
Barn,tt,3100,-0.7643138460988068,-0.7383140731359982,-0.36254640409052313,-0.7643138460988068,-0.30490301799870284,-0.667856120720428,-0.6413485537881328,-0.5083692267870699
Church,tt,8850,-0.7580782335147135,-0.7588928456995049,-0.7536787433380071,-0.7580782335147135,-0.7299410511408317,-0.7540141069830337,-0.759111295225381,-0.7347658762924284
Family,tt,4250,-0.8481476142384081,-0.8544004876089806,-0.754284313614552,-0.8481476142384081,-0.4507888162378255,-0.8458269848709027,-0.7881304253654784,-0.8250575195052935
Francis,tt,3100,-0.8371032950372693,-0.8383486317603156,-0.8194738729056593,-0.8371032950372693,-0.08468089753653056,-0.565322865272541,-0.5384431447642439,-0.629644235164889
Horse,tt,2410,-0.8642319558481281,-0.8567565760935812,-0.8499903764985042,-0.8642319558481281,-0.016202726546877776,-0.7938127389229347,-0.7458461701400958,-0.7589741767277736
Ignatius,tt,2520,-0.5773315567734056,-0.502570229994695,-0.5057229978126259,-0.5773315567734056,-0.330416129936684,-0.4065360630163938,-0.4944755317634103,-0.5264088075690211
Museum,tt,1950,-0.7251971516372395,-0.6827338082158148,-0.6863017898273951,-0.7251971516372395,-0.06848640328373526,-0.5187092807403673,-0.5572565866192896,-0.29748700514994403
fern,llff,130,-0.09448010857565116,-0.1106002454693744,-0.014397377533075961,-0.09448010857565116,-0.40335395429304133,-0.4235301142024666,-0.22554248895676515,
flower,llff,432,-0.5808851136076634,-0.5653017986523431,-0.42901102770617106,-0.5808851136076634,-0.14604188304938145,-0.739346859559092,-0.6510061620106061,-0.4223123565417969
fortress,llff,616,-0.406797022969709,-0.399785669880359,-0.4891613248089212,-0.406797022969709,-0.12076879565830784,-0.44786669984680877,-0.411213898492873,-0.5247422279841392
horns,llff,1076,-0.5185971263410211,-0.5212957537458852,-0.4443517341676823,-0.5185971263410211,-0.1264868597380788,-0.5310207106858638,-0.5043178287088348,-0.3270228042613582
leaves,llff,248,-0.41878686461944037,-0.49494120227195476,-0.36004055715353345,-0.41878686461944037,-0.2765435760923041,-0.22916406117147545,-0.3718252825903402,-0.29563502766221994
orchids,llff,225,-0.5089026304984996,-0.4869157988104792,-0.505010687841274,-0.5089026304984996,-0.15345277841130797,-0.25014359075628617,-0.4363645093890275,-0.2959774700506021
room,llff,593,-0.5619426006115786,-0.5474190318729412,-0.5971318163045256,-0.5619426006115786,-0.14208737712110395,-0.5139888732845884,-0.509939941147132,-0.5562977704637755
trex,llff,915,-0.5068502384664145,-0.5013422826916548,-0.29409125855644563,-0.5068502384664145,-0.13054222920677777,-0.5453046373480105,-0.49459507165418065,-0.47968911803096426
