scene,budget,dataset,n,n_methods,fvs_baseline,fvs_plucker,fvs_angular,fvs_euclidean,alexnet_entropy,alexnet_dist,dinov2_dist,clip_dist
Ballroom,10,tt,1540,11,-0.7164589235053248,-0.686791234980738,-0.5680045919724468,-0.7164589235053248,-0.12977051939178313,-0.5149910321243623,-0.5498653388836969,
Ballroom,15,tt,540,4,-0.6006517068609434,-0.5827916017456278,-0.5236765992721472,-0.6006517068609434,-0.4244981788155805,-0.5022064675181093,-0.5196845791209835,
Ballroom,20,tt,520,4,-0.57425388057944,-0.5117866701059937,-0.46005975761583534,-0.57425388057944,-0.44087924767587033,-0.4191950186315948,-0.4520294411343758,
Ballroom,25,tt,500,4,-0.5388270634333567,-0.5532443439435633,-0.48052977287261917,-0.5388270634333567,-0.29915898863595447,-0.40573746482056555,-0.43824287282843283,
Barn,10,tt,1540,11,-0.7322611302266255,-0.7305749439874799,-0.23354408227280887,-0.7322611302266255,-0.3081444196099751,-0.6242735960987748,-0.5636508481029795,-0.41696610836212816
Barn,15,tt,540,4,-0.765572717225853,-0.7281854258160219,-0.381598774312103,-0.765572717225853,-0.4282377130541905,-0.6132446979990448,-0.6259176074385263,-0.5062135199211119
Barn,20,tt,520,4,-0.6650880259642594,-0.6262597262858464,-0.3184341383725664,-0.6650880259642594,-0.231443362757088,-0.559100648220523,-0.5121796137622026,-0.3576489270604503
Barn,25,tt,500,4,-0.5271070337049122,-0.4302502884462501,-0.38086107273757386,-0.5271070337049122,-0.30464665858663437,-0.5151899467283747,-0.4929511372992257,-0.35436695540420704
Church,10,tt,4290,11,-0.7582887635240662,-0.7595729561684629,-0.7493207404731527,-0.7582887635240662,-0.7317063772384897,-0.7539406799269954,-0.7587001810929905,-0.7345215765596481
Church,15,tt,1540,4,-0.7525729577854214,-0.7530127011690393,-0.7596923990621721,-0.7525729577854214,-0.75108740706796,-0.750958205201482,-0.7543968806754284,-0.7262906279378479
Church,20,tt,1520,4,-0.7526051292868494,-0.7532747299734478,-0.7467658267383143,-0.7526051292868494,-0.7283132938292659,-0.7478977704692793,-0.754999857244446,-0.7309037805591146
Church,25,tt,1500,4,-0.7526293257140031,-0.7535214137222885,-0.7590835705994552,-0.7526293257140031,-0.716714788643781,-0.7547822446281591,-0.7572569025890157,-0.7243998117581157
Family,10,tt,2090,11,-0.8658414338117756,-0.8716117639845621,-0.7783705511526188,-0.8658414338117756,-0.3726053723258628,-0.8603989941360767,-0.7986656168909764,-0.8322351128383807
Family,15,tt,740,4,-0.8019562487402496,-0.810957974332431,-0.6913225917733284,-0.8019562487402496,-0.5855788534942441,-0.8045213887588765,-0.7340269461679227,-0.7809035003283762
Family,20,tt,720,4,-0.7949138994292985,-0.8021460179225357,-0.6967075159572761,-0.7949138994292985,-0.529244655178733,-0.8029118412935806,-0.7356859109854041,-0.7824695756572322
Family,25,tt,700,4,-0.7853319459007799,-0.7975997414165831,-0.634149659547772,-0.7853319459007799,-0.44754315242042764,-0.7904805328527383,-0.6888927141754275,-0.7700028977673745
Francis,10,tt,1540,11,-0.844014310368142,-0.8472713030057102,-0.816598305013594,-0.844014310368142,-0.08047508502442073,-0.5668754306744147,-0.5442685825844259,-0.5537246414000444
Francis,15,tt,540,4,-0.8147194598256403,-0.81025790277016,-0.8002001459949458,-0.8147194598256403,-0.12969363177971577,-0.4880792454731302,-0.44402597172869324,-0.6625894702473134
Francis,20,tt,520,4,-0.7528480874695077,-0.754089062332905,-0.7408816804704768,-0.7528480874695077,-0.16903473414074413,-0.37749422321454396,-0.3419457721249043,-0.5856990532903491
Francis,25,tt,500,4,-0.6300568584506541,-0.626692315550647,-0.5835203670224111,-0.6300568584506541,0.0010685802743210973,-0.22007370984340902,-0.1870270860573358,-0.36950401579356185
Horse,10,tt,1210,11,-0.8788517592599187,-0.8698171982166306,-0.8621842417427891,-0.8788517592599187,-0.11096120329080171,-0.8074909458877184,-0.7596235047584392,-0.7483322331649501
Horse,15,tt,420,4,-0.81174794565295,-0.7933505638909593,-0.7912573898198497,-0.81174794565295,0.12422463215391709,-0.7055122005335296,-0.6646661559853643,-0.7044997923884435
Horse,20,tt,400,4,-0.7927563555537808,-0.7907924290047093,-0.7707402351009452,-0.7927563555537808,0.0825511409446309,-0.7161079194748773,-0.6600923623112043,-0.6611515082095845
Horse,25,tt,380,4,-0.7528263020789467,-0.7414902758956674,-0.67035664628451,-0.7528263020789467,0.19274991334318178,-0.6292892412902444,-0.5542625169844191,-0.5096798268330166
Ignatius,10,tt,1320,12,-0.5639218177541945,-0.5414816733005843,-0.3701126122364721,-0.5639218177541945,-0.2898236126416764,-0.40086771926771186,-0.42540934363933847,-0.4462844006235002
Ignatius,15,tt,420,4,-0.36922332603345503,-0.2574721585637145,-0.3221639296666122,-0.36922332603345503,-0.24201611120244443,-0.258390561457128,-0.3018047555895097,-0.29742019620326876
Ignatius,20,tt,400,4,-0.3919823256633943,-0.15890305521253814,-0.6301881834373418,-0.3919823256633943,-0.3201475634222714,-0.16705930408903386,-0.4350458007115412,-0.4478040690988491
Ignatius,25,tt,380,4,-0.40109631463534523,-0.15759845208842183,-0.7293083737822788,-0.40109631463534523,-0.31751626797240545,-0.11103140928124909,-0.44797203164557786,-0.4535917236203699
Museum,10,tt,990,11,-0.711448889596951,-0.6831988834078496,-0.6873583008349432,-0.711448889596951,-0.07257486388125232,-0.5324939813269648,-0.5429715764990366,-0.1171929904653586
Museum,15,tt,340,4,-0.6089409090446142,-0.5448405643673914,-0.5642934426730364,-0.6089409090446142,-0.07257766833928445,-0.31470304178769154,-0.420824173823353,-0.1595219461835363
Museum,20,tt,320,4,-0.5810124384401122,-0.4729694605281688,-0.4632034640375277,-0.5810124384401122,-0.066622110567486,-0.26697994161936434,-0.3766935230693458,-0.2882010672343176
Museum,25,tt,300,4,-0.5169605051362216,-0.41735460381398687,-0.3634412672114867,-0.5169605051362216,-0.14892787697641086,-0.27003212074609945,-0.3060034910312444,-0.2657413677454102
fern,10,llff,110,11,-0.09863772846268853,-0.11460449219648142,0.017529623117712216,-0.09863772846268853,-0.3819931926066145,-0.4084706903816195,-0.16871495248481755,
fern,15,llff,20,4,0.28658305835860975,0.31531697977715106,0.42301291241236916,0.28658305835860975,-0.42255639097744363,-0.14431605856420474,0.05456785125235976,
flower,10,llff,264,11,-0.49967596507666806,-0.4885836452179905,-0.3438563547071301,-0.49967596507666806,-0.15756572168094737,-0.6407176609420686,-0.507352312911754,-0.31228601255028543
flower,15,llff,76,4,-0.3850473476264683,-0.3249875663246381,-0.15612820513050646,-0.3850473476264683,-0.10769651401230348,-0.6791890801349283,-0.5188908776685447,-0.2251136819830166
flower,20,llff,56,4,-0.15594377566391604,-0.09135081429566554,-0.07316199582647624,-0.15594377566391604,-0.16090225563909777,-0.6539915893874872,-0.42771891435721615,-0.2970159066756475
flower,25,llff,36,4,-0.07177003361246033,-0.0709542109803018,-0.16117622135631646,-0.07177003361246033,-0.07927927927927929,-0.5639878337700225,-0.5031916343203842,-0.15495823511208157
fortress,10,llff,352,11,-0.4297645669398645,-0.4283761279303796,-0.43913455946306884,-0.4297645669398645,-0.11271678527279055,-0.4085334582089505,-0.3742611253191751,-0.4583773833352583
fortress,15,llff,108,4,-0.2001905591666179,-0.18344659832326202,-0.4663860685039859,-0.2001905591666179,-0.08256880733944955,-0.32087273551632534,-0.3101223948646377,-0.42513499727296483
fortress,20,llff,88,4,-0.053523931717482334,-0.07379648198276939,-0.4014373945731735,-0.053523931717482334,-0.138617871860801,-0.1381515236163887,-0.2570513915445927,-0.47450776476373163
fortress,25,llff,68,4,0.18113079595199716,0.0923003562428866,-0.3409926397698776,0.18113079595199716,-0.050654655113180895,-0.0766241889951808,-0.034366887625963495,-0.2918079022930944
horns,10,llff,572,11,-0.4161341755685385,-0.41364307166555153,-0.334833512301147,-0.4161341755685385,0.025334006426880586,-0.39467010272727243,-0.3823689481334347,-0.31245983995550364
horns,15,llff,188,4,-0.359642013711293,-0.35449383348246416,-0.2917070787428129,-0.359642013711293,-0.03634413146303008,-0.31465915841155595,-0.2118618623496158,-0.029408272098923854
